tf,celltype_or_cluster,expected_higher_group_main,main_regulon,n_lesion,n_internal_control,mean_log1p_norm_expr_lesion,mean_log1p_norm_expr_internal_control,positive_fraction_lesion,positive_fraction_internal_control,log2fc_lesion_vs_internal_control,mannwhitney_u,p_value,direction_consistent_with_main,fdr_bh
BHLHE40,cluster_4,lesion,BHLHE40(+),1287,2523,0.023426344266248372,0.025928710283228344,0.035742035742035744,0.024177566389219182,-0.47721308183098393,1641617.5,0.049324433600586866,False,0.09056289447976605
BHLHE40,cluster_3,lesion,BHLHE40(+),181,3681,0.09001645171756831,0.046266569613544924,0.049723756906077346,0.04699809834284162,1.9698044561599117,334509.0,0.7977510550539652,True,0.8591165208273471
BHLHE40,cluster_16,lesion,BHLHE40(+),529,1229,0.03888943365279692,0.039779724425442,0.07183364839319471,0.043938161106590726,-0.21891704373952728,333604.5,0.023502880825652682,False,0.04618109916619474
BHLHE40,cluster_10,lesion,BHLHE40(+),805,1646,0.027165900077578558,0.029262869032707365,0.012422360248447204,0.015795868772782502,0.24646258136460658,660337.0,0.5253721809083078,True,0.6327062823841987
BHLHE40,cluster_18,lesion,BHLHE40(+),59,1540,0.06360362106714651,0.0366216582688615,0.15254237288135594,0.052597402597402594,0.5095077254886836,49780.0,0.0017558691640113023,True,0.00418419885892055
BHLHE40,cluster_26,lesion,BHLHE40(+),291,712,0.011754480627432309,0.01845340074529817,0.024054982817869417,0.019662921348314606,-1.0312525838048567,104019.0,0.6824131315543757,False,0.7704968917821177
BHLHE40,cluster_28,lesion,BHLHE40(+),405,373,0.04553216861401044,0.018314537494700706,0.15555555555555556,0.04289544235924933,1.196021984048304,83829.0,4.3236172588803643e-07,True,1.3835575228417166e-06
BHLHE40,cluster_9,lesion,BHLHE40(+),57,2739,0.08841703761346882,0.06341267003578155,0.10526315789473684,0.05951077035414385,0.20016643004651916,81501.0,0.1675026144661943,True,0.256990312605668
BHLHE40,cluster_5,lesion,BHLHE40(+),1426,2039,0.09695973159778425,0.04750111090635365,0.23983169705469845,0.06522805296714075,0.7742950076139504,1695611.5,2.8920884416385146e-44,True,1.0797130182117121e-42
BHLHE40,cluster_29,lesion,BHLHE40(+),132,446,0.1235998655554121,0.07361632639963064,0.24242424242424243,0.08744394618834081,0.43097518532650936,33670.0,1.0557282661726339e-05,True,2.9560391452833745e-05
BHLHE40,cluster_14,lesion,BHLHE40(+),685,1438,0.03164742900616702,0.016937518873875797,0.072992700729927,0.017385257301808066,0.5200168605181191,519413.5,1.8958395910976384e-10,True,7.864223488997612e-10
BHLHE40,cluster_8,lesion,BHLHE40(+),64,3136,0.0,0.006487966824754358,0.0,0.003826530612244898,-4.445821540191083,99968.0,0.6205450238310904,False,0.7239691944696055
BHLHE40,cluster_31,lesion,BHLHE40(+),90,206,0.03826255392111937,0.027908170173445216,0.044444444444444446,0.024271844660194174,0.131155065095085,9453.0,0.3650568083138891,True,0.49861417720921436
BHLHE40,cluster_30,lesion,BHLHE40(+),226,273,0.19472146468308305,0.07818674202191211,0.17256637168141592,0.04395604395604396,0.8110863826767388,34660.5,6.139923446686459e-06,True,1.763260066740727e-05
BHLHE40,cluster_22,lesion,BHLHE40(+),1372,37,0.14408808774705087,0.15238294972443653,0.12026239067055394,0.10810810810810811,-1.1316819514898362,25713.5,0.8101862686700287,False,0.864198686581364
BHLHE40,cluster_0,lesion,BHLHE40(+),2105,2721,0.04834940136116578,0.033039964166550306,0.03657957244655582,0.023153252480705624,0.25619938489935157,2902152.0,0.0060621065083879665,True,0.013312861351753965
BHLHE40,cluster_32,lesion,BHLHE40(+),84,128,0.009268999310267294,0.016682163285869925,0.011904761904761904,0.015625,-1.1329814582521198,5356.0,0.827289090348678,False,0.8741167747080372
BHLHE40,cluster_27,lesion,BHLHE40(+),372,423,0.04014819762463783,0.07490227886216297,0.11559139784946236,0.09929078014184398,-1.2527786269867964,79374.5,0.6879436533768908,False,0.7704968917821177
BHLHE40,cluster_13,lesion,BHLHE40(+),2157,167,0.03797635887606006,0.0543863060922574,0.03569772832637923,0.04790419161676647,-0.7823741128497788,177879.0,0.41175822623974456,False,0.5362432713819929
BHLHE40,cluster_15,lesion,BHLHE40(+),747,1342,0.11749868849749118,0.038259201571453245,0.3078982597054886,0.10655737704918032,1.6704619443971938,601836.5,4.004451809532214e-30,True,7.474976711126799e-29
BHLHE40,cluster_19,lesion,BHLHE40(+),727,721,0.35058338343122086,0.5505351824472007,0.40027510316368636,0.30513176144244103,-1.513831645296094,261168.5,0.892907067923038,False,0.917482491810828
BHLHE40,cluster_25,lesion,BHLHE40(+),529,607,0.09132209755739783,0.1889210037602678,0.07750472589792061,0.09555189456342669,-1.8686865183467611,156751.0,0.1590558143090911,False,0.24742015559191946
BHLHE40,cluster_24,lesion,BHLHE40(+),1183,87,0.02227281585891761,0.0,0.013524936601859678,0.0,6.000351077363499,52156.5,0.2755372575416538,True,0.3880037153178314
BHLHE40,cluster_12,lesion,BHLHE40(+),1692,659,0.1277482354647888,0.10254558424457116,0.18439716312056736,0.09863429438543247,-0.10470948937726988,600802.0,4.5641325494758905e-06,False,1.3815752582197291e-05
BHLHE40,cluster_11,lesion,BHLHE40(+),1765,653,0.018733245583174674,0.01970157142843966,0.019263456090651557,0.013782542113323124,-0.4987808658241468,579340.0,0.3794287653653792,False,0.5081151374341475
BHLHE40,cluster_23,lesion,BHLHE40(+),1261,49,0.17587868674481272,0.1913021410684619,0.1379857256145916,0.1836734693877551,0.20545919946881805,29715.5,0.45170442288752255,True,0.5684370265550845
