regulon,mean_auc,std_auc,variance_auc,nonzero_fraction
CEBPE(+),0.054225724,0.06860917,0.004707218,0.5499569336778639
TCF7L1(+),0.049698967,0.049695913,0.0024696838,0.7566752799310938
PBX4(+),0.04945505,0.055322174,0.0030605427,0.7299741602067183
SOX7(+),0.044333007,0.046601787,0.0021717264,0.7118863049095607
HLTF(+),0.043233372,0.06526998,0.0042601703,0.49310938845822566
ZNF384(+),0.042739403,0.056240555,0.003163,0.5012919896640827
ETS1(+),0.042486068,0.038589623,0.001489159,0.8880275624461671
ZNF37A(+),0.04208615,0.05747464,0.0033033343,0.5073212747631353
ATF1(+),0.04193868,0.023777297,0.00056535983,0.9900947459086994
ZNF433(+),0.041064773,0.059424374,0.0035312565,0.4810508182601206
JUNB(+),0.041006982,0.08069015,0.006510901,0.28208440999138673
GABPB1(+),0.039707344,0.07344847,0.005394678,0.3298880275624462
HMGA1(+),0.03914293,0.035132743,0.0012343097,0.8372093023255814
FOXC2(+),0.03911798,0.027753295,0.0007702454,0.9956933677863911
NFYB(+),0.039011482,0.033812486,0.0011432843,0.8225667527993109
USF2(+),0.037060022,0.06511478,0.004239935,0.40223944875107664
ZNF75A(+),0.03704251,0.068568416,0.0047016274,0.301464254952627
ZNF250(+),0.035938304,0.06490331,0.0042124395,0.3152454780361757
TBP(+),0.035509422,0.041072115,0.0016869185,0.6317829457364341
ETV6(+),0.035288014,0.041717697,0.0017403662,0.9810508182601206
NR2C1(+),0.03356101,0.053988736,0.0029147838,0.38931955211024977
IRF9(+),0.029529167,0.040132638,0.0016106286,0.5314384151593454
ETV2(+),0.029295692,0.035792522,0.0012811047,0.6093884582256676
TBX21(+),0.027153913,0.03311349,0.0010965032,0.5938845822566753
ARID5A(+),0.026680006,0.053818904,0.0028964744,0.2588285960378984
GTF2IRD1(+),0.024021307,0.03249305,0.0010557985,0.5361757105943152
WT1(+),0.021183861,0.0299478,0.00089687074,0.4784668389319552
FOXC1(+),0.020861903,0.04298048,0.0018473217,0.3686477174849268
GATA6(+),0.018860864,0.023502015,0.00055234466,0.6434108527131783
DBP(+),0.018573115,0.044404045,0.0019717193,0.21016365202411713
GCM1(+),0.004425357,0.019196551,0.00036850755,0.09905254091300603
