combo_id,regulon_fdr_threshold,expr_abs_log2fc_threshold,positive_fraction_threshold,rule,n_retained,shortlist_members,core4_retained
59,0.1,0.0,0.05,regulon_significant_plus_expression_significant,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
60,0.1,0.0,0.05,regulon_significant_plus_expression_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
61,0.1,0.0,0.1,regulon_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;ATF7;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
62,0.1,0.0,0.1,regulon_significant_plus_expression_significant,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
63,0.1,0.0,0.1,regulon_significant_plus_expression_significant_plus_direction,6,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2,NFE2L2;THRB;BHLHE40;SOX2
64,0.1,0.25,0.0,regulon_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
65,0.1,0.25,0.0,regulon_significant_plus_expression_significant,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
66,0.1,0.25,0.0,regulon_significant_plus_expression_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
67,0.1,0.25,0.05,regulon_significant_plus_direction,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
68,0.1,0.25,0.05,regulon_significant_plus_expression_significant,7,THRB;SATB2;RARB;SOX2;BHLHE40;NFE2L2;HMGA1,NFE2L2;THRB;BHLHE40;SOX2
