tf,candidate_tier,gene_set_type,query_label,source,term,query_size,term_size,overlap_count,overlap_ratio,fold_enrichment,p_value,overlap_genes,fdr_bh
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of Cellular Component Biogenesis (GO:0044089),245,92,5,0.02040816326530612,8.119121561668145,0.0003949998814504051,LGALS3;PRKCA;SDCBP;SYK;TFRC,0.006080408011179187
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of Cell Population Proliferation (GO:0008284),245,476,11,0.044897959183673466,3.4523323615160346,0.000402655559803902,CUL3;FGFR2;ITGAV;LYN;NAMPT;PDGFC;PHIP;RBPJ;SDCBP;SS18;TGFB2,0.006147862937493723
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Positive Regulation Of Epithelial Cell Migration (GO:0010634),245,94,5,0.02040816326530612,7.94637429439861,0.00043614862176746447,MAP4K4;PRKCA;RTN4;SASH1;TGFB2,0.006405878885155426
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,SMAD Protein Complex Assembly (GO:0007183),245,5,2,0.00816326530612245,59.75673469387756,0.0004403572552179031,SMAD2;SMAD4,0.006405878885155426
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Negative Regulation Of Cardiac Muscle Cell Differentiation (GO:2000726),245,5,2,0.00816326530612245,59.75673469387756,0.0004403572552179031,FRS2;SMAD4,0.006405878885155426
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Negative Regulation Of Lens Fiber Cell Differentiation (GO:1902747),245,5,2,0.00816326530612245,59.75673469387756,0.0004403572552179031,SPRED1;SPRY2,0.006405878885155426
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Hyaluronan Biosynthetic Process (GO:1900125),245,5,2,0.00816326530612245,59.75673469387756,0.0004403572552179031,CLTC;NFKB1,0.006405878885155426
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Regulation Of Morphogenesis Of A Branching Structure (GO:0060688),245,5,2,0.00816326530612245,59.75673469387756,0.0004403572552179031,FGFR2;RTN4,0.006405878885155426
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Actin Polymerization Or Depolymerization (GO:0008154),245,53,4,0.0163265306122449,11.274855602618407,0.000443431445724284,ENAH;WASF3;WASL;WIPF1,0.006405878885155426
NFE2L2,primary_lesion_axis,intersection_directional,NFE2L2_intersection_directional,go,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),245,95,5,0.02040816326530612,7.862728249194414,0.00045789494481416693,ITGB5;NR3C1;SMAD2;SMAD4;TGFB2,0.006483295395688126
