gene,mean_lesion,mean_internal_control,positive_fraction_lesion,positive_fraction_internal_control,log2fc_lesion_vs_internal_control,abs_log2fc,direction,positive_fraction_higher_group
LGI1,0.6306306306306307,0.40306834030683136,0.3502252252252231,0.3054393305439315,0.6457707755045168,0.6457707755045168,lesion,0.3502252252252231
AL157396.1,0.254504504504504,0.20223152022315238,0.19369369369369316,0.15969316596931687,0.331683313286811,0.331683313286811,lesion,0.19369369369369316
AL358154.1,0.030405405405405393,0.01394700139470014,0.028153153153153143,0.011854951185495118,1.1243727936353098,1.1243727936353098,lesion,0.028153153153153143
SLC35G1,0.03603603603603604,0.029288702928870272,0.029279279279279268,0.02510460251046023,0.2990960103500967,0.2990960103500967,lesion,0.029279279279279268
PLCE1,0.21509009009008992,0.18200836820083716,0.13738738738738743,0.1457461645746167,0.24093627259852682,0.24093627259852682,lesion,0.13738738738738743
PLCE1-AS2,0.0033783783783783786,0.001394700139470014,0.0033783783783783786,0.001394700139470014,1.2763753356986505,1.2763753356986505,lesion,0.0033783783783783786
AL139118.1,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
AL389885.1,0.0011261261261261261,0.0,0.0011261261261261261,0.0,20.102938268748783,20.102938268748783,lesion,0.0011261261261261261
PLCE1-AS1,0.0033783783783783786,0.000697350069735007,0.0033783783783783786,0.000697350069735007,2.2763743012874187,2.2763743012874187,lesion,0.0033783783783783786
AL139124.1,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
NOC3L,0.0945945945945947,0.04393305439330544,0.0822072072072073,0.03974895397489538,1.1064509240435048,1.1064509240435048,lesion,0.0822072072072073
TBC1D12,0.3761261261261248,0.28451882845188253,0.24099099099098997,0.2245467224546727,0.4026923916193714,0.4026923916193714,lesion,0.24099099099098997
HELLS,0.09909909909909917,0.04393305439330543,0.06531531531531537,0.04184100418410041,1.1735651192087986,1.1735651192087986,lesion,0.06531531531531537
AL138759.1,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
CYP2C18,0.007882882882882882,0.0048814504881450485,0.00563063063063063,0.0048814504881450485,0.691413329821604,0.691413329821604,lesion,0.00563063063063063
CYP2C19,0.0033783783783783786,0.00697350069735007,0.0033783783783783786,0.006276150627615063,-1.0455519316591926,1.0455519316591926,internal_control,0.006276150627615063
CYP2C9,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0
CYP2C8,0.019144144144144146,0.016736401673640166,0.018018018018018018,0.01603905160390516,0.193913772039554,0.193913772039554,lesion,0.018018018018018018
AL157834.1,0.038288288288288286,0.049511854951185506,0.036036036036036036,0.044630404463040445,-0.37087082736112054,0.37087082736112054,internal_control,0.044630404463040445
ACSM6,0.03378378378378378,0.022315202231520212,0.028153153153153143,0.020920502092050198,0.5983040160133204,0.5983040160133204,lesion,0.028153153153153143
AL157834.2,0.0033783783783783786,0.001394700139470014,0.0033783783783783786,0.001394700139470014,1.2763753356986505,1.2763753356986505,lesion,0.0033783783783783786
PDLIM1,0.011261261261261262,0.006276150627615063,0.007882882882882882,0.006276150627615063,0.8434164340387712,0.8434164340387712,lesion,0.007882882882882882
SORBS1,2.6295045045045127,2.327754532775442,0.6407657657657676,0.7545327754532796,0.17585203751511255,0.17585203751511255,lesion,0.6407657657657676
ALDH18A1,0.07432432432432438,0.06555090655509069,0.06306306306306311,0.05857740585774062,0.18121870743464816,0.18121870743464816,lesion,0.06306306306306311
