regulon,test,group_1,group_2,n_lesion,n_internal_control,mean_lesion,mean_internal_control,median_lesion,median_internal_control,mean_diff_group2_minus_group1,abs_mean_diff,statistic,p_value,fdr_bh
HLTF(+),mann_whitney_u,lesion,internal_control,888,1434,0.054671392702722504,0.03615039892753163,0.010655737947672606,0.0,-0.018520993775190876,0.018520993775190876,715137.0,8.459278408914398e-08,1.644859690622244e-07
FLI1(+),mann_whitney_u,lesion,internal_control,888,1434,0.1468666924582165,0.1115435888821637,0.1214025504887104,0.09877049177885056,-0.03532310357605281,0.03532310357605281,720632.0,8.884587176629056e-08,1.6961484609928197e-07
MAX(+),mann_whitney_u,lesion,internal_control,888,1434,0.08369445631926593,0.08742850569740582,0.08387978002429008,0.08778729662299156,0.0037340493781398837,0.0037340493781398837,553007.5,9.80737844905878e-08,1.8388834591985215e-07
SOX9(+),mann_whitney_u,lesion,internal_control,888,1434,0.13186227069259937,0.11171654264227977,0.1220238097012043,0.09519906342029572,-0.020145728050319597,0.020145728050319597,718383.5,1.9629772534499804e-07,3.6160107300394377e-07
SP3(+),mann_whitney_u,lesion,internal_control,888,1434,0.0975648737973995,0.10191049411207063,0.09927166998386383,0.10377509891986847,0.004345620314671131,0.004345620314671131,558753.5,6.895543076567322e-07,1.248331074206153e-06
ZNF267(+),mann_whitney_u,lesion,internal_control,888,1434,0.12418339755763677,0.11294854447022185,0.11950447037816048,0.11088860034942627,-0.011234853087414925,0.011234853087414925,713907.0,8.757047128337272e-07,1.5584575397888365e-06
NR2C1(+),mann_whitney_u,lesion,internal_control,888,1434,0.02629022457672814,0.038063437261723926,0.0,0.0,0.011773212684995787,0.011773212684995787,571865.0,2.617498240560669e-06,4.5806219209811705e-06
NFKB1(+),mann_whitney_u,lesion,internal_control,888,1434,0.09817720108732648,0.08970889394694999,0.09265889972448349,0.0868866816163063,-0.008468307140376496,0.008468307140376496,708516.0,4.777498374905333e-06,8.223562776476393e-06
NFIA(+),mann_whitney_u,lesion,internal_control,888,1434,0.1778909146013829,0.16633681827218297,0.17533760517835617,0.15936926752328873,-0.011554096329199931,0.011554096329199931,707769.0,5.989760530644186e-06,1.014394928576838e-05
FOXC2(+),mann_whitney_u,lesion,internal_control,888,1434,0.0417576965988406,0.037483463504036606,0.037704918533563614,0.034629905596375465,-0.004274233094803993,0.004274233094803993,702015.5,3.178310609040422e-05,5.297184348400704e-05
GTF2IRD1(+),mann_whitney_u,lesion,internal_control,888,1434,0.020234105416785407,0.026366545232853915,0.0,0.011076082475483418,0.006132439816068508,0.006132439816068508,575864.5,4.435525069485223e-05,7.277033317124195e-05
EGR2(+),mann_whitney_u,lesion,internal_control,888,1434,0.09686104918469314,0.0827850585256546,0.08449128270149231,0.07667620480060577,-0.014075990659038543,0.014075990659038543,700461.0,4.880242820544117e-05,7.883469171648189e-05
ZNF384(+),mann_whitney_u,lesion,internal_control,888,1434,0.03722519367190077,0.04615406811130499,0.0,0.014519906602799892,0.008928874439404225,0.008928874439404225,581002.5,0.00015063331499370785,0.0002396439102172625
SREBF2(+),mann_whitney_u,lesion,internal_control,888,1434,0.11820828889471453,0.12679991173600802,0.12329170480370522,0.12773329764604568,0.008591622841293486,0.008591622841293486,581086.5,0.000397332797123955,0.0006226857268360488
IRF8(+),mann_whitney_u,lesion,internal_control,888,1434,0.1442525775212719,0.12134348498098813,0.12028688564896584,0.1112249568104744,-0.022909092540283782,0.022909092540283782,692079.0,0.0004195961447715145,0.0006479058117795445
USF2(+),mann_whitney_u,lesion,internal_control,888,1434,0.04520411793846752,0.0320168469268568,0.0,0.0,-0.01318727101161072,0.01318727101161072,684813.5,0.0005484916639377631,0.000830121334029531
DBP(+),mann_whitney_u,lesion,internal_control,888,1434,0.014634224417268587,0.021012262714086606,0.0,0.0,0.006378038296818019,0.006378038296818019,598077.5,0.000553414222686354,0.000830121334029531
HOXD10(+),mann_whitney_u,lesion,internal_control,888,1434,0.06666609528900579,0.0705391099559831,0.06181694008409977,0.06753512844443321,0.0038730146669773147,0.0038730146669773147,583396.0,0.0006869045940832888,0.0010158448222358496
TBP(+),mann_whitney_u,lesion,internal_control,888,1434,0.032728630285246994,0.03723141226045791,0.01666666753590107,0.028005464002490044,0.004502781975210916,0.004502781975210916,588709.0,0.0017148477655514584,0.002500819658095877
ETV2(+),mann_whitney_u,lesion,internal_control,888,1434,0.032071620804164744,0.02757672755283625,0.021074680611491203,0.016575591638684273,-0.0044948932513284925,0.0044948932513284925,681390.5,0.0033304341942940355,0.004790350553436626
ELK4(+),mann_whitney_u,lesion,internal_control,888,1434,0.057609043459714494,0.06184030746599637,0.040085868909955025,0.045199062675237656,0.004231264006281876,0.004231264006281876,591263.5,0.003437670323926413,0.004877775459625315
RORA(+),mann_whitney_u,lesion,internal_control,888,1434,0.2277560114298385,0.20235881351474855,0.1952345296740532,0.17551662772893906,-0.02539719791508996,0.02539719791508996,679293.5,0.006665928180849088,0.009332299453188723
POU2F2(+),mann_whitney_u,lesion,internal_control,888,1434,0.0908449725149268,0.08508155343332717,0.04207650199532509,0.06623731553554535,-0.0057634190815996356,0.0057634190815996356,597105.0,0.009876500182628678,0.013645164726000148
ARID5A(+),mann_whitney_u,lesion,internal_control,888,1434,0.03023777887194212,0.02447683498566331,0.0,0.0,-0.005760943886278808,0.005760943886278808,660797.0,0.04619523481626913,0.06299350202218518
GATA6(+),mann_whitney_u,lesion,internal_control,888,1434,0.01753679907682175,0.019680800399750693,0.010689890943467617,0.013866120018064976,0.0021440013229289435,0.0021440013229289435,606559.0,0.04947111082529259,0.0665957261109708
YY1(+),mann_whitney_u,lesion,internal_control,888,1434,0.07151090857154781,0.0673430580550753,0.06929199397563934,0.06575195863842964,-0.004167850516472504,0.004167850516472504,666937.5,0.05408469743557089,0.07188472443968283
ZNF433(+),mann_whitney_u,lesion,internal_control,888,1434,0.047759088224788804,0.03691932402518377,0.0,0.0,-0.010839764199605036,0.010839764199605036,664364.0,0.05743840118007723,0.07538790154885136
ETV6(+),mann_whitney_u,lesion,internal_control,888,1434,0.03752639440265151,0.033901929582759574,0.02552798669785261,0.024933540262281895,-0.003624464819891933,0.003624464819891933,664892.5,0.07251580096834227,0.09400196421822146
SOX7(+),mann_whitney_u,lesion,internal_control,888,1434,0.04668146628381208,0.04287870934544525,0.03793260455131531,0.035200364887714386,-0.003802756938366833,0.003802756938366833,664299.5,0.075157999065526,0.09623890124244183
NFE2L1(+),mann_whitney_u,lesion,internal_control,888,1434,0.1638931393505888,0.1540309896087339,0.15313701331615448,0.15113843232393265,-0.009862149741854898,0.009862149741854898,661777.0,0.11017043736545026,0.13937224004062987
E2F1(+),mann_whitney_u,lesion,internal_control,888,1434,0.20357701979574394,0.1949720675978852,0.19202186167240143,0.19021858274936676,-0.008604952197858728,0.008604952197858728,661297.5,0.11711691770951614,0.14639614713689517
ZNF75A(+),mann_whitney_u,lesion,internal_control,888,1434,0.0350441835013568,0.03827994602171878,0.0,0.0,0.003235762520361979,0.003235762520361979,617342.5,0.12895270052017324,0.15929451240727283
RUNX3(+),mann_whitney_u,lesion,internal_control,888,1434,0.12826999642903003,0.12360830074455459,0.12021857872605324,0.1181693971157074,-0.004661695684475442,0.004661695684475442,658957.0,0.15569189430052965,0.19008894071576296
SMAD1(+),mann_whitney_u,lesion,internal_control,888,1434,0.07927305800819283,0.07857605303128508,0.08028142154216766,0.07787704840302467,-0.0006970049769077502,0.0006970049769077502,658283.5,0.16915640210325888,0.20415427840048483
THRA(+),mann_whitney_u,lesion,internal_control,888,1434,0.08552738068088352,0.08378881763672064,0.08327371999621391,0.08312270417809486,-0.0017385630441628802,0.0017385630441628802,657732.0,0.18031254719616707,0.21514565290451754
CEBPE(+),mann_whitney_u,lesion,internal_control,888,1434,0.054852803570562124,0.05383738522999352,0.002810304402373731,0.02654176391661167,-0.0010154183405686051,0.0010154183405686051,616832.5,0.18449546317212184,0.21766318688845834
STAT1(+),mann_whitney_u,lesion,internal_control,888,1434,0.10992164041024742,0.10664091645798424,0.10574248805642128,0.1069730594754219,-0.0032807239522631843,0.0032807239522631843,657028.0,0.1953360520121542,0.22789206068084655
ZNF250(+),mann_whitney_u,lesion,internal_control,888,1434,0.04092391572346248,0.03285098052161487,0.0,0.0,-0.008072935201847611,0.008072935201847611,652128.5,0.2329173423659292,0.2681670221194445
HIF1A(+),mann_whitney_u,lesion,internal_control,888,1434,0.102335800279946,0.09347921997422223,0.09059478715062141,0.08803068473935127,-0.008856580305723769,0.008856580305723769,655343.5,0.23496539080941803,0.2681670221194445
STAT4(+),mann_whitney_u,lesion,internal_control,888,1434,0.07190876830438421,0.062475754685085066,0.053927596658468246,0.050512295216321945,-0.009433013619299144,0.009433013619299144,654833.0,0.2388504409463048,0.2696698526813119
ZNF37A(+),mann_whitney_u,lesion,internal_control,888,1434,0.04131889503280347,0.04256127257637369,0.0,0.00749414530582726,0.0012423775435702195,0.0012423775435702195,619828.0,0.25222280506710415,0.28173823970261636
E2F3(+),mann_whitney_u,lesion,internal_control,888,1434,0.1204162519404178,0.1213224084094437,0.12400143221020699,0.12147248163819313,0.0009061564690258928,0.0009061564690258928,653602.0,0.281594061420092,0.30686640423358824
WT1(+),mann_whitney_u,lesion,internal_control,888,1434,0.021276399336948252,0.02112656331393922,0.0,0.0,-0.0001498360230090326,0.0001498360230090326,652349.5,0.2818274724761659,0.30686640423358824
FOXC1(+),mann_whitney_u,lesion,internal_control,888,1434,0.022476123674341826,0.01986232092193614,0.0,0.0,-0.0026138027524056848,0.0026138027524056848,651263.5,0.283486106768172,0.30686640423358824
STAT6(+),mann_whitney_u,lesion,internal_control,888,1434,0.056323312858735375,0.05382579483644764,0.04890710301697254,0.0469696968793869,-0.0024975180222877383,0.0024975180222877383,652344.5,0.316152275913105,0.3387345813354697
NR4A2(+),mann_whitney_u,lesion,internal_control,888,1434,0.09721401740424315,0.0804701967886097,0.07244990766048431,0.07128870487213135,-0.016743820615633453,0.016743820615633453,652119.5,0.3253815251399863,0.34510161757271274
POU2F1(+),mann_whitney_u,lesion,internal_control,888,1434,0.2810145704356769,0.27116393947628337,0.27515938878059387,0.2633652091026306,-0.009850630959393536,0.009850630959393536,650548.5,0.3776348401665963,0.3965165821749261
HIVEP1(+),mann_whitney_u,lesion,internal_control,888,1434,0.10569596224765543,0.09671889785104049,0.0939435325562954,0.08597449958324432,-0.008977064396614942,0.008977064396614942,649208.0,0.4204951912955073,0.43714846619829967
NFYB(+),mann_whitney_u,lesion,internal_control,888,1434,0.038924118830330263,0.0390656080623508,0.0348360650241375,0.034921448677778244,0.00014148923202053632,0.00014148923202053632,629589.5,0.6499260408015615,0.6690415125898427
TBX21(+),mann_whitney_u,lesion,internal_control,888,1434,0.028881504520606605,0.026084118983324026,0.017704918049275875,0.018925318494439125,-0.002797385537282579,0.002797385537282579,641801.0,0.7364308766597245,0.7507305053327288
ELF2(+),mann_whitney_u,lesion,internal_control,888,1434,0.10690284294478998,0.10892889630491098,0.10963098332285881,0.10961132869124413,0.0020260533601210023,0.0020260533601210023,632555.5,0.7920227103805737,0.7996383133650024
RB1(+),mann_whitney_u,lesion,internal_control,888,1434,0.1309331832097021,0.13192922858627854,0.13307718932628632,0.13257446885108948,0.0009960453765764377,0.0009960453765764377,639892.0,0.8387225020506108,0.8387225020506108
